"Add To Cart","Add To Basket"
"Added To Cart","Added To Basket"
"Shopping Cart","Shopping Basket"
"Error adding item to cart. Please refresh the page and try again.","Error adding item to basket. Please refresh the page and try again."
"Error adding item to cart.","Error adding item to basket."
"Unable to add product to cart; no more stock available.","Unable to add product to basket; no more stock available."
"There are only %s unit(s) available of item #%s. The amount added to your cart has been adjusted accordingly.","There are only %s unit(s) available of item #%s. The amount added to your basket has been adjusted accordingly."
"%s was added to your shopping cart.","%s was added to your shopping basket."
"Cannot add the item to shopping cart.","Cannot add the item to shopping basket."
"Error adding item to cart. Please refresh the page and try again.","Error adding item to basket. Please refresh the page and try again."
"Error, no products were added to the cart.","Error, no products were added to the basket."
"Error adding items to cart.","Error adding items to basket."
"%s was added to your shopping cart.","%s was added to your shopping basket."
"Cannot add the item to shopping cart.","Cannot add the item to shopping basket."
"%s products were added to your shopping cart.","%s products were added to your shopping basket."
"Unable to add item #%s to cart: no longer available for purchase.","Unable to add item #%s to basket: no longer available for purchase."
"Unable to add item #%s to cart: no more stock available.","Unable to add item #%s to basket: no more stock available."
"This item is not available for purchase at this time. Please remove this item from your cart or \"save for later\" in order to proceed to checkout.", "This item is not available for purchase at this time. Please remove this item from your basket or \"save for later\" in order to proceed to checkout."
"Tax","VAT"
