item_num	name	systems_enabled	active	item_type	product_lines
30320	Ellison SureCut Die Set - Common Core Mega (65 Die Set)	"eeus, erus"	1	die	Ellison SureCut XL Dies
30431	Ellison SureCut Die Set - Common Core Language Arts (11 Die Set)	"eeus, erus"	1	die	Ellison SureCut XL Dies
30432	Ellison SureCut Die Set - Common Core Manipulatives (12 Die Set)	"eeus, erus"	1	die	Ellison SureCut XL Dies
30433	Ellison SureCut Die Set - Common Core Math (12 Die Set)	"eeus, erus"	1	die	Ellison SureCut XL Dies
30434	Ellison SureCut Die Set - Common Core Math #2 (16 Die Set)	"eeus, erus"	1	die	Ellison SureCut XL Dies
113440	Sizzix Sizzlits Die - Buttons #5	szus	0	die	Sizzix Sizzlits Dies (Small & Medium)
113441	"Sizzix Sizzlits Die - Scribbles, Swirls"	szus	0	die	Sizzix Sizzlits Dies (Small & Medium)
113442	"Sizzix Sizzlits Die - Flower, Daisy"	szus	0	die	Sizzix Sizzlits Dies (Small & Medium)
113443	Sizzix Sizzlits Die - Pumpkin #4	szus	0	die	Sizzix Sizzlits Dies (Small & Medium)
113444	Sizzix Sizzlits Die - Sparkle	szus	0	die	Sizzix Sizzlits Dies (Small & Medium)
113445	Sizzix Sizzlits Die - Pumpkin Faces	szus	0	die	Sizzix Sizzlits Dies (Small & Medium)
113446	Sizzix Sizzlits Die Set 4PK - Build a Flower Set #2	szus	0	die	Sizzix Sizzlits Dies (Small & Medium)
113447	"Sizzix Sizzlits Die Set 4PK - Flowers Set, Spring"	szus	0	die	Sizzix Sizzlits Dies (Small & Medium)
113448	Sizzix Sizzlits Die Set 4PK - Hearts Set	szus	0	die	Sizzix Sizzlits Dies (Small & Medium)
113449	Sizzix Sizzlits Die Set 4PK - Snowflakes Set #2	szus	0	die	Sizzix Sizzlits Dies (Small & Medium)
113450	Sizzix Sizzlits Alphabet Set 12 Dies - Go Go Boots	szus	0	die	Sizzix Sizzlits Dies (Small & Medium)
113451	Stampin' Up! Exclusive Design Embosslits Die - 20th Anniversary	szus	0	die	Sizzix Embosslits Dies
113452	"Stampin' Up! Exclusive Design Sizzlits Decorative Strip Die - Peace, Joy, Love & Cheer"	szus	0	die	Sizzix Sizzlits Decorative Strip Dies
113453	Sizzix Sizzlits Decorative Strip Alphabet Die - Naturally Serif	szus	0	die	Sizzix Sizzlits Decorative Strip Dies
113454	Sizzix Sizzlits Decorative Strip Die - Flowers	szus	0	die	Sizzix Sizzlits Decorative Strip Dies
113455	"Sizzix Sizzlits Decorative Strip Die - Flowers, Loopy"	szus	0	die	Sizzix Sizzlits Decorative Strip Dies
113456	Sizzix Sizzlits Decorative Strip Die - Swirly	szus	0	die	Sizzix Sizzlits Decorative Strip Dies
113457	Stampin' Up! Exclusive Design Bigz Die - Tulipe	szus	0	die	Sizzix Bigz Dies
113458	Sizzix Originals Die - Flower Layers	szus	0	die	Sizzix Originals Dies (Large)
113459	Sizzix Originals Die - Leaves #2	szus	0	die	Sizzix Originals Dies (Large)
113460	Sizzix Originals Die - Snowflake #2	szus	0	die	Sizzix Originals Dies (Large)
113461	Sizzix Originals Die - Stars #2	szus	0	die	Sizzix Originals Dies (Large)
113462	Stampin' Up! Exclusive Design Bigz Die - Scallop Envelope	szus	0	die	Sizzix Bigz Dies w/Crease
113463	Stampin' Up! Exclusive Design Bigz Die - Top Note	szus	0	die	Sizzix Bigz Dies
113464	Sizzix Bigz Alphabet Set 7 Dies - Serif Essentials	szus	0	die	Sizzix Bigz Dies
113465	Sizzix Bigz Die - Bird w/Leaves & Flower	szus	0	die	Sizzix Bigz Dies
113466	"Sizzix Bigz Die - Box, Pillow"	szus	0	die	Sizzix Bigz Dies w/Crease
113467	"Sizzix Bigz Die - Card, Petal"	szus	0	die	Sizzix Bigz Dies w/Crease
113468	"Sizzix Bigz Die - Circle, Scallop"	szus	0	die	Sizzix Bigz Dies
113469	"Sizzix Bigz Die - Circles, Scallop #2"	szus	0	die	Sizzix Bigz Dies
113470	Sizzix Bigz Die - Flower Layers w/Leaf	szus	0	die	Sizzix Bigz Dies
113471	"Sizzix Bigz Die - Flower, Build a Flower"	szus	0	die	Sizzix Bigz Dies
113472	"Sizzix Bigz Die - Ornament, Circle 3-D"	szus	0	die	Sizzix Bigz Dies
113473	"Sizzix Bigz Die - Star, 5 Point 3-D"	szus	0	die	Sizzix Bigz Dies
113483	Stampin' Up! Exclusive Design Bigz XL Die - Double Pennant	szus	0	die	Sizzix Bigz XL Dies w/Crease
113484	Stampin' Up! Exclusive Design Bigz XL Die - Baskets & Blooms	szus	0	die	Sizzix Bigz XL Dies w/Crease
113485	Stampin' Up! Exclusive Design Sizzlits Die Set 4PK - Birds & Blooms Set	szus	0	die	Sizzix Sizzlits Dies (Small & Medium)
