item_num	name	systems_enabled	active	item_type	product_lines
654324	"Sizzix Simple Impressions Embossing Folder - Phrase, Glamour Girl"	"szus, erus"	TRUE	die	Sizzix Simple Impressions
654325	"Sizzix Simple Impressions Embossing Folder - Phrase, Happy Birthday"	"szus, erus"	TRUE	die	Sizzix Simple Impressions
654400	"Sizzix Little Sizzles - 2 1/2"" x 2 1/2"" Cardstock Pad, Brights, Adhesive"	szus	TRUE	supply	
654326	"Sizzix Simple Impressions Embossing Folder - Phrase, Kiss"	"szus, erus"	FALSE	die	Sizzix Simple Impressions
654327	"Sizzix Simple Impressions Embossing Folder - Phrase, My Lips are Sealed"	"szus, erus"	TRUE	die	Sizzix Simple Impressions
654328	"Sizzix Simple Impressions Embossing Folder - Phrase, Princess"	"szus, erus"	FALSE	die	Sizzix Simple Impressions
654329	"Sizzix Simple Impressions Embossing Folder - Phrase, Sad"	"szus, erus"	TRUE	die	Sizzix Simple Impressions
654330	"Sizzix Simple Impressions Embossing Folder - Phrase, Sweet Dreams"	"szus, erus"	FALSE	die	Sizzix Simple Impressions
654331	"Sizzix Simple Impressions Embossing Folder - Phrase, Winking"	"szus, erus"	TRUE	die	Sizzix Simple Impressions
654332	"Sizzix Simple Impressions Embossing Folder - Phrase, Wow!"	"szus, erus"	TRUE	die	Sizzix Simple Impressions
654333	"Sizzix Simple Impressions Embossing Folder - Phrase, Christmas Wishes"	szus	TRUE	die	Sizzix Simple Impressions
654334	Sizzix Simple Impressions Embossing Folder - Horsedrawn Sleigh	"szus, erus"	TRUE	die	Sizzix Simple Impressions
654335	"Sizzix Simple Impressions Embossing Folder - Flower, Sunflower w/Leaves"	"szus, erus"	TRUE	die	Sizzix Simple Impressions
654336	Sizzix Sizzlits Die - Alarm Clock	szus	FALSE	die	Sizzix Sizzlits Dies (Small & Medium)
654337	Sizzix Sizzlits Die - Banner	"szus, erus"	TRUE	die	Sizzix Sizzlits Dies (Small & Medium)
654339	Sizzix Sizzlits Die - Crown	szus	TRUE	die	Sizzix Sizzlits Dies (Small & Medium)
654340	Sizzix Sizzlits Die - Ghost #2	szus	FALSE	die	Sizzix Sizzlits Dies (Small & Medium)
654341	Sizzix Sizzlits Die - Heart Charm Bracelet	szus	TRUE	die	Sizzix Sizzlits Dies (Small & Medium)
654342	Sizzix Sizzlits Die - Jade	szus	TRUE	die	Sizzix Sizzlits Dies (Small & Medium)
654343	Sizzix Sizzlits Die - MacKenzie	szus	TRUE	die	Sizzix Sizzlits Dies (Small & Medium)
654344	"Sizzix Sizzlits Die - Phrase, Cheers!"	szus	TRUE	die	Sizzix Sizzlits Dies (Small & Medium)
654345	"Sizzix Sizzlits Die - Phrase, Friends & Daisies"	"szus, erus"	TRUE	die	Sizzix Sizzlits Dies (Small & Medium)
18067	Xyron 900 Repositionable Refill 40'	szus	TRUE	supply	
654346	"Sizzix Sizzlits Die - Phrase, Girl Talk"	szus	TRUE	die	Sizzix Sizzlits Dies (Small & Medium)
654347	"Sizzix Sizzlits Die - Phrase, It's a Party!"	"szus, erus"	TRUE	die	Sizzix Sizzlits Dies (Small & Medium)
654348	"Sizzix Sizzlits Die - Phrase, Secrets"	"szus, erus"	TRUE	die	Sizzix Sizzlits Dies (Small & Medium)
654349	"Sizzix Sizzlits Die - Phrase, Sleepover"	szus	TRUE	die	Sizzix Sizzlits Dies (Small & Medium)
654350	"Sizzix Sizzlits Die - Phrase, Up All Night"	"szus, szuk"	TRUE	die	Sizzix Sizzlits Dies (Small & Medium)
654351	Sizzix Sizzlits Die - Present	szus	FALSE	die	Sizzix Sizzlits Dies (Small & Medium)
654352	Sizzix Sizzlits Die - Reindeer	szus	TRUE	die	Sizzix Sizzlits Dies (Small & Medium)
654353	Sizzix Sizzlits Die - Rocking Horse	szus	FALSE	die	Sizzix Sizzlits Dies (Small & Medium)
654354	Sizzix Sizzlits Die - Star	szus	TRUE	die	Sizzix Sizzlits Dies (Small & Medium)
654355	Sizzix Sizzlits Die - Teddy Bear	szus	FALSE	die	Sizzix Sizzlits Dies (Small & Medium)
654356	Sizzix Sizzlits Die - Teddy Bear w/Shirt	"szus, erus"	TRUE	die	Sizzix Sizzlits Dies (Small & Medium)
654357	Sizzix Sizzlits Decorative Strip Die - ABC & 123	szus	TRUE	die	Sizzix Sizzlits Decorative Strip Dies
654358	Sizzix Sizzlits Decorative Strip Die - Bikinis	"szus, erus"	TRUE	die	Sizzix Sizzlits Decorative Strip Dies
654359	Sizzix Sizzlits Decorative Strip Die - Flowers	"szus, erus"	TRUE	die	Sizzix Sizzlits Decorative Strip Dies
654360	Sizzix Sizzlits Decorative Strip Die - Frame w/Phrases	"szus, erus"	TRUE	die	Sizzix Sizzlits Decorative Strip Dies
654361	Sizzix Sizzlits Decorative Strip Die - Frames	"szus, erus"	TRUE	die	Sizzix Sizzlits Decorative Strip Dies
654362	Sizzix Sizzlits Decorative Strip Alphabet Die - Hunky Dory	"szus, erus"	TRUE	die	Sizzix Sizzlits Decorative Strip Dies
654363	"Sizzix Sizzlits Decorative Strip Die - Phrase, Happy Birthday & Favors #2"	szus	FALSE	die	Sizzix Sizzlits Decorative Strip Dies
654364	"Sizzix Sizzlits Decorative Strip Die - Phrase, Cutie, I love being me! & Angel"	"szus, erus"	TRUE	die	Sizzix Sizzlits Decorative Strip Dies
654365	"Sizzix Sizzlits Decorative Strip Die - Phrase, Friends, Hello & Thinking of You"	"szus, szuk, erus"	TRUE	die	Sizzix Sizzlits Decorative Strip Dies
654366	"Sizzix Sizzlits Decorative Strip Die - Phrase, Thanks!, It's Your Day & Just a Note"	"szus, erus"	TRUE	die	Sizzix Sizzlits Decorative Strip Dies
654367	"Sizzix Sizzlits Decorative Strip Die - Phrase, Too Cute For Words, For You & Smile"	szus	TRUE	die	Sizzix Sizzlits Decorative Strip Dies
654368	Sizzix Sizzlits Die Set 4PK - Clock Hands Set	"szus, erus"	TRUE	die	Sizzix Sizzlits Dies (Small & Medium)
654370	Sizzix Sizzlits Die Set 4PK - Snowflakes Set	"szus, erus"	TRUE	die	Sizzix Sizzlits Dies (Small & Medium)
654371	Sizzix Sizzlits Die Set 4PK - Spring Set #2	szus	TRUE	die	Sizzix Sizzlits Dies (Small & Medium)
