_id,permalink,name,tag_type,systems_enabled,image_eeus_filename,Image,description
5372ae8dff9afc500c000f3d,amy-friend-guest-quilter,"Amy Friend, Guest Quilter",artist,"szus,szuk,erus",,/grid/visual_asset/image/537bcd6902f399552b000705/amy_friend.jpg,"<p>Amy Friend is a designer, quilter and sewer. She earned her B.A. and completed her M.A. coursework in Art History. After working as a collections curator, she decided to stay home and raise her three children. For a creative outlet, Amy turned to sewing and blogging. From there, she worked with BasicGrey to create quilt designs, with Art Gallery Fabrics as a member of their Fat Quarter Gang, as a project designer for Therm O Web, and design team member for Sizzix. She enjoys sewing, especially projects that are complex and challenging. She also likes paper piecing and precise patchwork designs. If Amy is not sewing or caring for her family, she's likely gardening at her home in West Newbury, Mass.</<p>"
55db85845b76e177a6000926,angela-southey-sizzix,"Angela Southey, Sizzix",artist,"szus,szuk,erus",,/grid/visual_asset/image/55dd06005b76e168f8001365/angela.jpg,"<p>Angela has always enjoyed working with textiles and yarn. She learned to sew, knit, crochet, macram&eacute; and lace while she was still a teenager. A career in teaching textiles was an obvious choice, until she chose to run her own business as a designer and seamstress while raising her family. Later, she began working for a shop specializing in fabrics for patchwork where a new interest and hobby was born. Since then, Angela has become manager of the shop and appears at patchwork shows, helping with the new fabric range. Angela joined Sizzix in 2012 as a member of the design team creating projects and quilts with the newest dies. She can't wait to share her creativity with you!</p>"
4f4d267c5b76e1053100125a,betsy-kaage-vintaj,"Betsy Kaage, Vintaj",artist,"szus,szuk,erus",,/grid/visual_asset/image/4fa03ec1fb60b50148001880/betsy.jpg,"<p>Betsy and her husband, Bill, happily raise their two children in the lush landscape of Galena, Illinois. Always seeking ways to live a creative life, Betsy jumped at the chance to paint, sew, knead, link, wrap and rivet for her friends at Vintaj. She uses all of the artistic skills learned from her previous careers in theatre and textile design and enjoys adding more to her repertoire. Her inspiration comes from nature, history and clever, funny people. Betsy appreciates her job flexibility and the opportunities available while living in a small country town.</<p>"
51534e79fb60b56efe000246,brenda-walton,Brenda Walton,artist,"szus,szuk,erus",,/grid/visual_asset/image/51534e79fb60b56efe000247/brenda_walton_125.jpg,"<p>Brenda's world travels have greatly influenced her classic, nature-inspired designs, which have been warming hearts for over 20 years. Her artistic career began with a passion for sophisticated calligraphy, watercolor painting and graphic design. Her elegant work has been translated into an extensive array of popular, licensed products, including scrapbooking collections for K&amp;Company and greeting card and gift collections for Papyrus. Brenda brings her graceful hand lettering, illustration and vintage imagery to a distinctive line of charming and sophisticated dies for Sizzix. Brenda's die cutting and embossing products make it easy for crafters to express themselves artfully, to create unique personalized gifts and to celebrate each and every day. Learn more about <a href=""http://www.brendawalton.com/"">Brenda Walton</a>.</<p>"
4dcc305502f3990cf2000043,cara-mariano-sizzix,"Cara Mariano, Sizzix",artist,"szus,szuk,erus",,/grid/visual_asset/image/4dfa9b2b02f3997c3000006d/cmariano_m.jpg,"<p>Cara has been scrapbooking for more than 10 years and currently spends her days working as Art Director for Ellison. She enjoys spending time with her husband, Glenn, and taking pictures. Cara also loves going to the beach, which she is able to do quite often since she lives in warm and sunny Southern California.</<p> <p>When she's not relaxing on the beach, her free time is spent scrapbooking. She describes her scrapbooking style as clean and simple, with the focus on the pictures. She has a passion for pink cardstock, and her favorite scrapbooking subjects are her friends and family.</<p>"
4dcc305702f3990cf20000ce,cheryl-adam-guest-quilter,"Cheryl Adam, Guest Quilter",artist,"szus,szuk,erus",,/grid/visual_asset/image/4dfa9b7802f3997c30000076/cheryl_adam.jpg,"<p>Trained in architectural engineering, Cheryl started quilting as a hobby in 1982 and eight years later turned her passion into a profession. Leveraging her educational background, she enjoys designing her own quilts and drafting the patterns, and her work has been featured in some of the hobby's most prestigious publications. In 2003, her experiences culminated with her insightful book <em>Off Center Patchwork</em>. In addition to having served as the technical editor for McCall's <em>Vintage Quilts</em> Magazine, Cheryl has also taught local quilting classes and exhibits her quilts at many shows and events.</<p>"
4dcc305702f3990cf20000cf,cindy-surina-guest-quilter,"Cindy Surina, Guest Quilter",artist,"szus,szuk,erus",,/grid/visual_asset/image/4ff5e7e75b76e16a5e0006aa/cindy_surina.jpg,"<p>Some may know Cindy as the quilter/owner of Custom Creations or as a vendor at many large retail quilt shows with her rainbow table of ""Fat Quarter Queen"" fabrics. She became addicted to appliqu&eacute; in the early 1980s and searched everywhere for fun and unique machine appliqu&eacute; designs. After years of selling her products at area boutiques and bazaars, she taught machine appliqu&eacute; classes at many locations throughout Southern California, primarily at The Fabric Patch in Upland. By 1995, she was designing and wholesaling patterns under the Custom Creations label. Her current focus on retail shows has been rewarded with a loyal customer base.</<p>"
55db86beff9afc2d1800269c,debi-potter-sizzix,"Debi Potter, Sizzix",artist,"szus,szuk,erus",,/grid/visual_asset/image/55db8795fb60b5628a0001b7/debi_potter.jpg,"<p>Debi has been papercrafting for more than 10 years and currently spends her days working as a freelance designer creating inspirational projects for the consumer craft magazines in the UK. More recently, Debi has turned her attention to working with fabric to create stylish home d&eacute;cor projects and describes her style as shabby chic using florals, stripes and polka dots.</p><p>When she's not tending to magazine submissions, Debi runs workshops at craft shops and consumer craft fairs. This allows her to share ideas and spend time with fellow crafters.</p>"
4dcc305502f3990cf2000045,deena-ziegler-sizzix,"Deena Ziegler, Sizzix",artist,"szus,szuk,erus",,/grid/visual_asset/image/4dfa9c1b02f3997c30000088/dziegler_m.jpg,"<p>Deena has always stored memorabilia in albums but has been ""officially"" scrapbooking for more than 15 years now. Her favorite scrapbooking subjects are her daughters, Niguel and Kylah, and she will always set aside time to scrapbook when they are willing to join her. Deena and her husband, Randy, have also collected many travel photos through the years, which she enjoys scrapbooking. Deena has a love of cardmaking and teaches card classes at stores and online. When Deena's not scrapbooking her personal memories, she's here at Sizzix helping to inspire you with new techniques and creative ways to use your die-cuts.</<p>"
5593084f5b76e135a0002417,janette-daneshmand-sizzix,"Janette Daneshmand, Sizzix",artist,"szus,szuk,erus",,/grid/visual_asset/image/55942f2dfb60b55cd00009e5/janette__daneshmand_sizzix.jpg,"<p>Janette is a craft designer, snailmail artist and author of the <a target=""_blank"" href=""http://janettelane.blogspot.com/"">Janette Lane blog</a>. She's also the creator of <a target=""_blank"" href=""www.pocketletterpals.com"">Pocket Letters&trade;</a>, an artful way to send pen pal letters around the world. Janette has been crafting her whole life, but more so since discovering the world of papercrafting via social media. She was born and raised in Orange County, Calif. and continues to reside there in the city of Fullerton with her wonderful husband, Justin. Janette also enjoys making her planner and Pocket Letter-related YouTube videos and thrifting! She's inspired by her faith and the world around her, and always tries to look for humor and beauty in everyday life.</p>"
