Tag type/category name	Current Website Name	systems_enabled	module	Parent Display Name	Child Display Name
Product Line	AllStar Long Dies	"[ ""eeus"",  ""erus"" ]"	"products, projects"	Ellison¨ AllStar¨ Dies	Ellison¨ AllStar¨ Long Dies
Product Line	AllStar Machine	"[ ""eeus"",  ""erus"" ]"	"products, projects"	Ellison¨ AllStar¨ Machine	
Product Line	AllStar Standard Dies	"[ ""eeus"",  ""erus"" ]"	"products, projects"	Ellison¨ AllStar¨ Dies	Ellison¨ AllStar¨ Standard Dies
Product Line	Ellison ClearCrop DC Dies	"[ ""eeus"",  ""erus"" ]"	"products, projects"	Ellison¨ ClearCropª Dies	Ellison¨ ClearCropª DC Dies
Product Line	"Ellison ClearCrop TY, SM & LG Dies"	"[ ""eeus"",  ""erus"" ]"	"products, projects"	Ellison¨ ClearCropª Dies	"Ellison¨ ClearCropª TY, SM & LG Dies"
Product Line	Ellison ClearCrop XL Dies	"[ ""eeus"",  ""erus"" ]"	"products, projects"	Ellison¨ ClearCropª Dies	Ellison¨ ClearCropª XL Dies
Product Line	Ellison LetterMachine Original	"[ ""eeus"",  ""erus"" ]"	"products, projects"	Ellison¨ LetterMachineª Original	
Product Line	Ellison LetterMachine XL	"[ ""eeus"",  ""erus"" ]"	"products, projects"	Ellison¨ LetterMachineª XL	
Product Line	Ellison RollModel Machine	"[ ""eeus"",  ""erus"" ]"	"products, projects"	Ellison¨ RollModelª Machine	
Product line	Ellison SuperStar Excel Machine	"[ ""eeus"",  ""erus"" ]"	"products, projects"	Ellison¨ SuperStarª Excel Machine	
Product Line	Ellison SuperStar Machine	"[ ""eeus"",  ""erus"" ]"	"products, projects"	Ellison¨ SuperStarª Machine	
Product Line	"Ellison SureCut 1 1/4""-5"" Alpha Dies"	"[ ""eeus"",  ""erus"" ]"	"products, projects"	Ellison¨ SureCutª Dies	"Ellison¨ SureCutª 1 1/4""-5"" Alpha Dies"
Product Line	"Ellison SureCut 8"" Alpha Dies"	"[ ""eeus"",  ""erus"" ]"	"products, projects"	Ellison¨ SureCutª Dies	"Ellison¨ SureCutª 8"" Alpha Dies"
Product Line	Ellison SureCut DC Dies	"[ ""eeus"",  ""erus"" ]"	"products, projects"	Ellison¨ SureCutª Dies	Ellison¨ SureCutª DC Dies
Product Line	Ellison SureCut EW Dies	"[ ""eeus"",  ""erus"" ]"	"products, projects"	Ellison¨ SureCutª Dies	Ellison¨ SureCutª EW Dies
Product Line	"Ellison SureCut TY, SM & LG Dies"	"[ ""eeus"",  ""erus"" ]"	"products, projects"	Ellison¨ SureCutª Dies	"Ellison¨ SureCutª TY, SM & LG Dies"
Product Line	Ellison SureCut XL Dies	"[ ""eeus"",  ""erus"" ]"	"products, projects"	Ellison¨ SureCutª Dies	Ellison¨ SureCutª XL Dies
Product Line	Ellison Prestige Pro Machine	"[ ""eeus"",  ""erus"" ]"	"products, projects"	Ellison¨ Prestigeª Pro Machine	
Product Line	Ellison Prestige Select Machine	"[ ""eeus"",  ""erus"" ]"	"products, projects"	Ellison¨ Prestigeª Select Machine	
Product Line	Ellison Prestige SpaceSaver Machine	"[ ""eeus"",  ""erus"" ]"	"products, projects"	Ellison¨ Prestigeª SpaceSaverª Machine	
Product Line	Sizzix Adhesive Sheets	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Adhesive Sheets	
Product Line	Sizzix Big Shot Express Machine	"[ ""szus"", ""erus"" ]"	"products, projects"	Sizzix¨ Big Shotª Express Machine	
Product Line	Sizzix Big Shot Machine	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Big Shotª Machine	
Product line	Sizzix Big Shot Plus Machine	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Big Shotª Plus Machine	
Product Line	Sizzix Big Shot Pro Machine	"[ ""szus"", ""szuk"", ""eeus"", ""erus"" ]"	"products, projects"	Sizzix¨ Big Shotª Pro Machine	
Product Line	Sizzix BIGkick Machine	"[ ""szus"", ""erus"" ]"	"products, projects"	Sizzix¨ BIGkickª Machine	
Product Line	Sizzix Bigz Clear Dies	"[ ""szus"", ""szuk"", ""eeus"", ""erus"" ]"	"products, projects"	Sizzix¨ Bigzª Dies	Sizzix¨ Bigzª Dies
Product Line	Sizzix Bigz Dies	"[ ""szus"", ""szuk"", ""eeus"", ""erus"" ]"	"products, projects"	Sizzix¨ Bigzª Dies	Sizzix¨ Bigzª Dies
Product Line	Sizzix Bigz Dies w/Crease	"[ ""szus"", ""szuk"", ""eeus"", ""erus"" ]"	"products, projects"	Sizzix¨ Bigzª Dies	Sizzix¨ Bigzª Dies
Product Line	Sizzix Bigz L Dies	"[ ""szus"", ""szuk"", ""eeus"", ""erus"" ]"	"products, projects"	Sizzix¨ Bigzª Dies	Sizzix¨ Bigzª L Dies
Product Line	Sizzix Bigz L Dies w/Crease	"[ ""szus"", ""szuk"", ""eeus"", ""erus"" ]"	"products, projects"	Sizzix¨ Bigzª Dies	Sizzix¨ Bigzª L Dies
Product line	Sizzix Bigz Plus Dies	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Bigzª Dies	Sizzix¨ Bigzª Plus Dies
Product line	Sizzix Bigz Plus Dies w/Crease	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Bigzª Dies	Sizzix¨ Bigzª Plus Dies w/Crease
Product Line	"Sizzix Bigz Pro 25"" Dies"	"[ ""szus"", ""szuk"", ""eeus"", ""erus"" ]"	"products, projects"	Sizzix¨ Bigzª Dies	"Sizzix¨ Bigzª Pro 25"" Dies"
Product Line	Sizzix Bigz Pro Dies	"[ ""szus"", ""szuk"", ""eeus"", ""erus"" ]"	"products, projects"	Sizzix¨ Bigzª Dies	Sizzix¨ Bigzª Pro Dies
Product Line	"Sizzix Bigz XL 25"" Dies"	"[ ""szus"", ""szuk"", ""eeus"", ""erus"" ]"	"products, projects"	Sizzix¨ Bigzª Dies	"Sizzix¨ Bigzª XL 25"" Dies"
Product Line	Sizzix Bigz XL Dies	"[ ""szus"", ""szuk"", ""eeus"", ""erus"" ]"	"products, projects"	Sizzix¨ Bigzª Dies	Sizzix¨ Bigzª XL Dies
Product Line	Sizzix Bigz XL Dies w/Crease	"[ ""szus"", ""szuk"", ""eeus"", ""erus"" ]"	"products, projects"	Sizzix¨ Bigzª Dies	Sizzix¨ Bigzª XL Dies
Product Line	Sizzix Clear Stamps	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Clear Stamps	
Product Line	Sizzix Clearlits Dies	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Clearlitsª Dies	
Product Line	Sizzix DecoEmboss Dies	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ DecoEmbossª Dies	
Product Line	Sizzix DecoEtch Dies	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ DecoEtchª Dies	
Product Line	Sizzix eclips Cartridges	"[ ""szus"", ""szuk"", ""eeus"", ""erus"" ]"	"products, projects"	Sizzix¨ eclips¨ Cartridges	Sizzix¨ eclips¨ Cartridges
Product Line	Sizzix eclips Machine	"[ ""szus"", ""szuk"", ""eeus"", ""erus"" ]"	"products, projects"	Sizzix¨ eclips¨ Machine	
Product Line	Sizzix eclips Stamp2Cut Cartridges	"[ ""szus"", ""szuk"", ""eeus"", ""erus"" ]"	"products, projects"	Sizzix¨ eclips¨ Cartridges	Sizzix¨ eclips¨ Stamp2Cut Cartridges
Product Line	Sizzix eclips2 Machine	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ eclips¨2 Machine	
Product Line	Sizzix Embosslits Dies	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Embosslitsª Dies	Sizzix¨ Embosslitsª Dies
Product Line	Sizzix Embosslits XL Dies	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Embosslitsª Dies	Sizzix¨ Embosslitsª XL Dies
Product Line	Sizzix Framelits Die Sets	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Framelitsª Die Sets	Sizzix¨ Framelitsª Die Sets
Product Line	Sizzix Framelits Die Sets w/Stamps	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Framelitsª Die Sets	Sizzix¨ Framelitsª Die Sets w/Stamps
Product Line	Sizzix Framelits Die Sets w/Textured Impressions	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Framelitsª Die Sets	Sizzix¨ Framelitsª Die Sets w/Textured Impressionsª
Product line	Sizzix Framelits Plus Die Sets	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Framelitsª Die Sets	Sizzix¨ Framelitsª Plus Die Sets
Product Line	Sizzix Frameworks Dies	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Frameworksª Dies	
Product Line	Sizzix Ink-its Letterpress Plates (A7 Border)	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Ink-itsª Letterpress Plates	Sizzix¨ Ink-itsª Letterpress Plates (A7 Border)
Product Line	Sizzix Ink-its Letterpress Plates (A7 Large)	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Ink-itsª Letterpress Plates	Sizzix¨ Ink-itsª Letterpress Plates (A7 Large)
Product line	Sizzix Inksheets Transfer Film	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Inksheetsª Transfer Film	
Product Line	Sizzix Little Sizzles	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Little Sizzlesª	
Product Line	Sizzix Movers & Shapers Accessories	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Movers & Shapersª Dies	Sizzix¨ Movers & Shapersª Accessories
Product Line	Sizzix Movers & Shapers Dies	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Movers & Shapersª Dies	Sizzix¨ Movers & Shapersª Dies
Product Line	Sizzix Movers & Shapers Dies w/Crease	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Movers & Shapersª Dies	Sizzix¨ Movers & Shapersª Dies
Product Line	Sizzix Movers & Shapers L Dies	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Movers & Shapersª Dies	Sizzix¨ Movers & Shapersª L Dies
Product Line	Sizzix Movers & Shapers L Dies w/Crease	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Movers & Shapersª Dies	Sizzix¨ Movers & Shapersª L Dies
Product Line	Sizzix Movers & Shapers Magnetic Dies	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Movers & Shapersª Dies	Sizzix¨ Movers & Shapersª Magnetic Dies
Product Line	Sizzix Movers & Shapers Magnetic Dies w/Crease	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Movers & Shapersª Dies	Sizzix¨ Movers & Shapersª Magnetic Dies
Product Line	Sizzix Movers & Shapers Pro Dies	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Movers & Shapersª Dies	Sizzix¨ Movers & Shapersª Pro Dies
Product Line	Sizzix Movers & Shapers XL Dies	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Movers & Shapersª Dies	Sizzix¨ Movers & Shapersª XL Dies
Product Line	Sizzix On the Edge Dies	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ On the Edgeª Dies	
Product Line	Sizzix Original Machine	"[ ""szus"", ""erus"" ]"	"products, projects"	Sizzix¨ Original Machine	
Product Line	Sizzix Originals Dies (Large)	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Originalsª Dies	Sizzix¨ Originalsª Dies (Large)
Product Line	"Sizzix Originals Dies (Small, Medium & Border)"	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Originalsª Dies	"Sizzix¨ Originalsª Dies (Small, Medium & Border)"
Product Line	Sizzix PaddlePunch	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ PaddlePunchª	
Product line	Sizzix Paper Leather Sheets	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Paper Leather Sheets	
Product line	Sizzix Paper Punches	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Paper Punches	
Product Line	Sizzix Pop 'n Cuts Magnetic Insert Dies	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Pop 'n Cutsª Dies	Sizzix¨ Pop 'n Cutsª Magnetic Insert Dies
Product Line	Sizzix Pop 'n Cuts XL Dies	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Pop 'n Cutsª Dies	Sizzix¨ Pop 'n Cutsª XL Dies
Product Line	Sizzix Rub Ons	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ Rub Ons	
Product Line	Sizzix ScoreBoards Dies	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ ScoreBoardsª Dies	Sizzix¨ ScoreBoardsª Dies
Product Line	Sizzix ScoreBoards L Dies	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ ScoreBoardsª Dies	Sizzix¨ ScoreBoardsª L Dies
Product Line	Sizzix ScoreBoards Pro Dies	"[ ""szus"", ""szuk"", ""erus"" ]"	"products, projects"	Sizzix¨ ScoreBoardsª Dies	Sizzix¨ ScoreBoardsª Pro Dies
